"Órgão Superior Lotação";"Órgão Lotação";"Servidores";"Inativos";"Pensionistas";
"Sem informação";"Tribunal Regional Eleitoral - PI";"1";"0";"0";
"Sem informação";"Prefeitura Municipal de Porto Velho - RO";"1";"0";"0";
"Sem informação";"Ministério da Previdência Social";"1";"0";"0";
"Sem informação";"MINISTERIO DO TRABALHO E PREVIDENCIA";"1";"0";"0";
"Sem informação";"Ministério da Defesa";"1";"0";"0";
"Presidência da República";"Advocacia-Geral da União";"3";"0";"0";
"Ministério da Infraestrutura";"Companhia das Docas do Estado da Bahia";"4";"0";"0";
"Presidência da República";"Banco Central do Brasil";"1";"0";"0";
"Sem informação";"Ministério da Infraestrutura";"3";"0";"0";
"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"1";"0";"0";
"Sem informação";"Centrais Eletricas do Norte do Brasil S.A.";"2";"0";"0";
"Sem informação";"Tribunal Regional Federal da 3ª Região - SP";"1";"0";"0";
"Sem informação";"Empresa de Portos do Brasil S.A.";"2";"0";"0";
"Sem informação";"Órgão Central do SIPEC - Sistema de Pessoal Civil da Administração Federal";"2";"0";"0";
"Sem informação";"Sem informação";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - MS";"1";"0";"0";
"Sem informação";"Secretaria Especial de Assuntos Estratégicos";"1";"0";"0";
"Sem informação";"Governo do Estado do Piauí";"2";"0";"0";
"Sem informação";"Justiça Federal";"7";"0";"0";
"Sem informação";"Câmara Legislativa do Distrito Federal";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - MG";"2";"0";"0";
"Sem informação";"Tribunal Regional do Trabalho - AL";"1";"0";"0";
"Sem informação";"Tribunal Regional Federal da 1ª Região - DF";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - RS";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - DF";"1";"0";"0";
"Sem informação";"Prefeitura Municipal de Vitória - ES";"1";"0";"0";
"Ministério de Minas e Energia";"Eletrobras - Centrais Elétricas Brasileiras S.A - Holding";"19";"0";"0";
"Sem informação";"Tribunal Regional do Trabalho MG";"10";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - GO";"1";"0";"0";
"Ministério da Infraestrutura";"Companhia Docas do Estado de São Paulo";"8";"0";"0";
"Sem informação";"Câmara dos Deputados";"12";"0";"0";
"Ministério de Minas e Energia";"Petrobras - Holding";"8";"0";"0";
"Ministério do Meio Ambiente";"Companhia de Desenvolvimento de Barcarena";"4";"0";"0";
"Sem informação";"Ministério Público do Distrito Federal e Territórios";"2";"0";"0";
"Sem informação";"Governo do Estado da Paraíba";"8";"0";"0";
"Sem informação";"Ministério da Economia";"4";"0";"0";
"Ministério da Economia";"Banco do Nordeste do Brasil";"36";"0";"0";
"Ministério da Infraestrutura";"Companhia Docas do Rio de Janeiro";"16";"0";"0";
"Sem informação";"Governo do Estado de Roraima";"5";"0";"0";
"Sem informação";"Tribunal Regional do Trabalho - DF";"2";"0";"0";
"Sem informação";"Tribunal Regional Federal";"1";"0";"0";
"Sem informação";"Governo do Estado de Santa Catarina";"4";"0";"0";
"Governo do Distrito Federal";"POLICIA CIVIL DO DISTRITO FEDERAL";"6";"0";"0";
"Sem informação";"Governo do Estado Espírito Santo";"4";"0";"0";
"Sem informação";"Governo do Estado do Rio Grande do Norte";"7";"0";"0";
"Sem informação";"Superior Tribunal de Justiça";"11";"0";"0";
"Sem informação";"Tribunal Regional do Trabalho";"8";"0";"0";
"Sem informação";"Governo do Estado do Rio Grande do Sul";"11";"0";"0";
"Sem informação";"Governo do Estado do Pará";"4";"0";"0";
"Sem informação";"Defensoria Pública da União";"3";"0";"0";
"Sem informação";"Ministério Público do Trabalho";"1";"0";"0";
"Sem informação";"Governo do Estado do Paraná";"6";"0";"0";
"Sem informação";"Governo do Estado da Bahia";"12";"0";"0";
"Sem informação";"Tribunal Superior Eleitoral";"2";"0";"0";
"Sem informação";"Governo do Estado de Sergipe";"6";"0";"0";
"Sem informação";"Tribunal de Justiça do Distrito Federal e dos Territórios";"10";"0";"0";
"Sem informação";"Procuradoria-Geral da República";"2";"0";"0";
"Sem informação";"Ministério Público da União";"4";"0";"0";
"Sem informação";"Governo do Estado do Acre";"4";"0";"0";
"Governo do Distrito Federal";"CORPO DE BOMBEIROS MILITAR DO DIST FED";"43";"0";"0";
"Sem informação";"Governo do Estado do Tocantins";"8";"0";"0";
"Sem informação";"Governo do Estado do Ceará";"4";"0";"0";
"Sem informação";"Supremo Tribunal Federal";"3";"0";"0";
"Sem informação";"Senado Federal";"9";"0";"0";
